id_unit,kode_unit,nama_unit,nilai_asset,lokasi,bulan,bulan_no,kategori,prestasi_realisasi,prestasi_budget,pendapatan_realisasi,pendapatan_budget,upah_realisasi,upah_budget,qty_bbm_realisasi,qty_bbm_budget,harga_bbm_realisasi,harga_bbm_budget,biaya_bbm_realisasi,biaya_bbm_budget,maintenance_realisasi,maintenance_budget,penyusutan_realisasi,penyusutan_budget,lainnya_realisasi,lainnya_budget,biaya_langsung_realisasi,biaya_langsung_budget,biaya_tidak_langsung_realisasi,biaya_tidak_langsung_budget,total_biaya_realisasi,total_biaya_budget
312005,312-005,DUMP TRUCK HINO FM 260 JD 312-005,0,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,31431077.81,0.0,10533879.74,0.0,456619.92,0.0,42421577.47,0.0,0.0,0.0,42421577.47,0.0
312006,312-006,DUMP TRUCK HINO FM 260 JD 312-006,0,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1694500.62,0.0,0.0,0.0,0.0,0.0,1694500.62,0.0,0.0,0.0,1694500.62,0.0
312011,312-011,DUMP TRUCK HINO FM 260 JD 312-011,0,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,0.0,0.0,25,0,14456.01,0.0,361400.25,0.0,11125177.51,0.0,10533879.74,0.0,459558.82,0.0,22480016.32,0.0,0.0,0.0,22480016.32,0.0
312012,312-012,DUMP TRUCK HINO FM 260 JD 312-012,1011252455,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,4067200.0,0.0,0,0,0.0,0.0,0.0,0.0,6996802.9,0.0,10533879.74,0.0,459558.82,0.0,22057441.46,0.0,0.0,0.0,22057441.46,0.0
312013,312-013,DUMP TRUCK HINO FM 260 JD 312-013,1067094595,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,2847040.0,0.0,0,0,0.0,0.0,0.0,0.0,22204763.03,0.0,11115568.7,0.0,484936.01,0.0,36652307.74,0.0,0.0,0.0,36652307.74,0.0
312016,312-016,DUMP TRUCK HINO FM 260 JD 312-016,1049083278,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,7320960.0,0.0,0,0,0.0,0.0,0.0,0.0,12330998.66,0.0,10927950.81,0.0,476750.86,0.0,31056660.33,0.0,0.0,0.0,31056660.33,0.0
312018,312-018,DUMP TRUCK HINO FM 260 JD 312-018,0,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,0.0,0.0,70,0,14456.01,0.0,1011920.7,0.0,17598528.12,0.0,10664348.58,0.0,465250.75,0.0,29740048.15,0.0,0.0,0.0,29740048.15,0.0
312019,312-019,DUMP TRUCK HINO FM 260 JD 312-019,1024020864,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,4104000.0,0.0,0,0,0.0,0.0,0.0,0.0,20115607.09,0.0,10666884.0,0.0,465361.36,0.0,35351852.45,0.0,0.0,0.0,35351852.45,0.0
312020,312-020,DUMP TRUCK HINO FM 260 JD 312-020,1040066144,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,4125000.0,0.0,0,0,0.0,0.0,0.0,0.0,21852853.24,0.0,10834022.33,0.0,472653.06,0.0,37284528.63,0.0,0.0,0.0,37284528.63,0.0
312024,312-024,DUMP TRUCK HINO FM 260 JD 312-024,1457274807,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,5694080.0,0.0,0,0,0.0,0.0,0.0,0.0,5110167.28,0.0,15179945.9,0.0,662251.54,0.0,26646444.72,0.0,0.0,0.0,26646444.72,0.0
312025,312-025,DUMP TRUCK HINO FM 260 JD 312-025,1456683897,AMPAH,Jan,1,AB,0.0,0.0,0,0.0,6236373.0,0.0,0,0,0.0,0.0,0.0,0.0,15572822.52,0.0,15173790.59,0.0,661983.0,0.0,37644969.11,0.0,0.0,0.0,37644969.11,0.0
312005,312-005,DUMP TRUCK HINO FM 260 JD 312-005,0,AMPAH,Feb,2,AB,0.0,0.0,0,0.0,0.0,0.0,40,0,14456.01,0.0,578240.4,0.0,0.0,0.0,10533879.74,0.0,456619.92,0.0,11568740.06,0.0,0.0,0.0,11568740.06,0.0
312006,312-006,DUMP TRUCK HINO FM 260 JD 312-006,0,AMPAH,Feb,2,AB,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312011,312-011,DUMP TRUCK HINO FM 260 JD 312-011,0,AMPAH,Feb,2,AB,0.0,0.0,0,0.0,0.0,0.0,50,0,14456.01,0.0,722800.5,0.0,6665882.57,0.0,10533879.74,0.0,459558.82,0.0,18382121.63,0.0,0.0,0.0,18382121.63,0.0
312012,312-012,DUMP TRUCK HINO FM 260 JD 312-012,1011252455,AMPAH,Feb,2,AB,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,243355.91,0.0,10533879.74,0.0,459558.82,0.0,11236794.47,0.0,0.0,0.0,11236794.47,0.0
312013,312-013,DUMP TRUCK HINO FM 260 JD 312-013,1067094595,AMPAH,Feb,2,AB,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1948375.1,0.0,11115568.7,0.0,484936.01,0.0,13548879.81,0.0,0.0,0.0,13548879.81,0.0
312016,312-016,DUMP TRUCK HINO FM 260 JD 312-016,1049083278,AMPAH,Feb,2,AB,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5610750.27,0.0,10927950.81,0.0,476750.86,0.0,17015451.94,0.0,0.0,0.0,17015451.94,0.0
