tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,tipe_biaya,nama_unit,biaya,keterangan
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,BACKHOE LOADER CAT 416 F 361-007,1400000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,GRADER CATERPILLAR 120K 351-007,800000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,BACKHOE LOADER CATTERPILLAR 426F2 361-009,400000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,BACKHOE LOADER CATERPILLAR 416F 361-013,800000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,GRADER XCMG GR-135 351-016,400000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,TRUCK TANGKI HINO 130 HD DA 8607 CL 261-012,240000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,TRUCK TANGKI HINO FG235 DA 8170 CR 262-005,20000.0,"By. Tagihan maintenance vulkanisir Saryono, bulan Desember 2025"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,BULLDOZER WEA B 165 YS 342-014,459000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,BULLDOZER CAT D6G DC-11 342-004,325000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,EXCAVATOR KOBELCO SK200-10 332-025,3500000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,EXCAVATOR KOBELCO SK200-10 332-025,400000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX 210 F-5G 332-048,180000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,BULLDOZER CAT D7G2 342-006,104000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,GRADER CATERPILAR 120 K 351-004,12000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
