lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-01,641106237101432 015,371-014,371014,COMPACTOR SAKAI SV 526-D 371-014,Compactor,AB,WS-PERBAIKAN UNIT,371-014   PERBAIKAN AC,2.0
BUHUT,Aug,2026-08-01,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,1.0
BUHUT,Aug,2026-08-01,641106233203831 115,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   TAMBAH OLI 10,1.0
BUHUT,Aug,2026-08-01,641106233205931 035,332-059,332059,EXCAVATOR KOMATSU PC210 332-059,Excavator Bucket,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-059   GREASING,1.0
BUHUT,Aug,2026-08-01,641106233204531 115,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   TAMBAH OLI 10,1.0
BUHUT,Aug,2026-08-01,641106237101431 075,371-014,371014,COMPACTOR SAKAI SV 526-D 371-014,Compactor,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,371-014   TAMBAH OLI 40,1.0
BUHUT,Aug,2026-08-01,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   PASANG KARET LOCK PIN TAHU,1.5
BUHUT,Aug,2026-08-01,641106235101431 035,351-014,351014,GRADER XCMG GR-135 351-014,Grader,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,351-014   GREASING,1.0
BUHUT,Aug,2026-08-01,641106233205232 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-052   PASANG LOCK PIN TAHU,1.5
BUHUT,Aug,2026-08-02,641106233205931 035,332-059,332059,EXCAVATOR KOMATSU PC210 332-059,Excavator Bucket,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-059  GREASING,1.0
BUHUT,Aug,2026-08-02,641106233203832 155,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-038  REPAIR TRACK,PERBAIKAN AC,",6.0
BUHUT,Aug,2026-08-02,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038  GREASING,1.0
BUHUT,Aug,2026-08-02,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045  GREASING,1.0
BUHUT,Aug,2026-08-02,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052  GREASING,1.0
BUHUT,Aug,2026-08-03,641106233205232 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-052   KENCANGKAN BOLT COVER,1.0
BUHUT,Aug,2026-08-03,641106233203832 155,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   REPAIR TRACK,1.5
BUHUT,Aug,2026-08-03,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,1.0
