tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,nama_unit,kode_barang,part_number,nama_barang,qty,satuan,biaya,group_desc,class_desc,subclass_desc
2026-01-01,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,TRUCK TANGKI HINO FG 235 DA 8171 CR 262-006,340307-050309-0012,S510V-EW022,SUPPORT SUB ASSY LH,1.0,PCS,1250000.0,Truck /Bus,Truck /Bus,Hino
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,340307-010207-0006,23304-JAE51,FUEL FILTER,1.0,PCS,131367.42,Truck /Bus,Truck /Bus,Hino
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,340307-010207-0008,23304-JAF40,FUEL FILTER,1.0,PCS,233293.88,Truck /Bus,Truck /Bus,Hino
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,340307-040207-0005,15613-EW010,"ELEMENT,OIL FILTER",1.0,PCS,230205.71,Truck /Bus,Truck /Bus,Hino
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,340307-040207-0010,23304-JAC70,ELEMENT FILTER,1.0,PCS,182176.52,Truck /Bus,Truck /Bus,Hino
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,340307-040207-0013,32915-LVA10,OIL FILTER T/M,1.0,PCS,46739.13,Truck /Bus,Truck /Bus,Hino
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,350201-000200-0024,,ENGINE OIL 15W-40,15.0,LTR,476999.7,Pelumas,Pelumas,Oli
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,350201-000200-0040,,GEAR OIL RORED HDA-140,25.0,Ltr,918168.25,Pelumas,Pelumas,Oli
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,350201-000200-0041,,GEAR OIL RORED HDA-90,15.0,Ltr,520928.25,Pelumas,Pelumas,Oli
2026-01-01,Jan,1,TANJUNG,MINING,RUTIN,STEERING SYSTEM,DUMP TRUCK HINO FM 280 JD 312-034,350201-000200-0069,,STEERING OIL @1 LTR,3.0,Btl,100384.59,Pelumas,Pelumas,Oli
